date func specc mod
2012.1.1 2 3 8
2012.1.6 0 0 1
2012.2.5 0 4 6
2012.2.8 0 0 1
2012.3.4 4 5 14
2012.4.9 0 1 6
2012.4.24 0 0 1
2012.6.3 5 4 7
2012.8.5 0 1 2
2012.10.7 11 9 12
2012.11.4 2 0 6
2012.11.29 0 1 0
2012.12.2 1 0 4
2013.3.10 9 4 14
2013.3.19 0 0 2
2013.4.14 5 5 8
2013.7.14 6 8 20
2013.8.11 2 1 2
2013.8.19 0 0 2
2013.9.8 2 0 2
2013.9.17 0 1 0
2013.11.10 14 11 16
2013.11.15 0 0 3
2013.12.9 0 0 2 
2014.1.12 0 1 3
2014.1.27 0 0 1
2014.2.9 0 1 0
2014.3.10 2 0 0
2014.3.17 1 0 2
2014.4.13 9 5 13
2014.5.2 0 0 1
2014.6.8 3 6 11
2014.7.13 6 3 10
2014.8.27 0 1 0
2014.9.14 2 0 2
2014.9.17 3 0 1
2014.10.1 1 0 0
2014.11.9 1 1 3
2014.12.14 1 1 4
2015.1.11 1 1 1
2015.4.12 3 4 1
2015.4.27 0 0 2
2015.7.12 3 6 4
2015.8.3 1 0 4
2015.9.13 1 0 8
2015.11.25 0 1 0
2016.1.10 17 44 29
2016.2.14 7 3 16
2016.3.13 0 0 1
2016.4.22 0 1 3
2016.5.8 3 10 14
2016.6.12 0 0 4
2016.8.14 3 13 23
2016.8.19 0 0 2
2016.12.11 4 16 12
2016.12.20 0 0 1
2017.1.8 0 0 2
2017.2.17 3 2 9
2017.3.12 0 0 3
2017.3.13 0 1 0
2017.3.29 0 1 0
2017.4.25 0 0 1
2017.6.25 4 6 6
2017.7.9 0 1 1
2017.8.13 4 11 5
2017.10.9 0 0 1
2017.11.12 0 9 3
2017.12.10 3 5 4
2018.1.14 2 11 1
2018.1.29 0 0 2
2018.2.11 1 2 2
2018.3.11 0 9 2
2018.3.19 0 0 1
2018.4.8 1 2 3
2018.4.12 0 0 1
2018.5.13 0 6 2
2018.6.10 1 7 1
2018.7.8 1 2 3
2018.8.12 1 3 0
2018.9.9 0 2 0
2018.9.4 0 0 1
2018.9.10 0 2 0
2018.9.13 0 1 0
2018.9.25 0 0 1
2018.10.14 0 4 1
2018.10.10 0 0 1
2018.11.11 2 2 0
2018.12.9 1 4 0
2019.1.13 0 3 1
2019.2.10 0 1 0
2019.2.12 0 0 1
2019.3.10 1 2 3
2019.3.12 0 0 1
2019.3.19 0 0 1
2019.4.14 6 10 7
2019.5.12 4 5 0
2019.6.9 4 3 2
2019.6.10 0 9 0
2019.7.14 8 2 0
2019.7.8 1 1 2
2019.7.25 0 0 2
